삐졌니,삐졌니
진심 삐졌냐,삐졌니
삐지니,삐졌니
삐졌니,삐졌니
삐졌네 당신도 니,삐졌니
진짜 삐졌니,삐졌니
너 지금 삐졌니,삐졌니
너 삐졌니,삐졌니
당신 삐졌네 너도 니,삐졌니
너 진짜 삐졌니,삐졌니
걔 삐졌니,삐졌니
아까 진심 삐졌었지,삐졌니
당신무 삐졌니,삐졌니
너 지금 삐졌니,삐졌니
너 진심 개 삐졌냐,삐졌니
아 엄청 삐졌니,삐졌니
완전 삐졌네 당신도 지금,삐졌니
지금 너 완전 삐졌니,삐졌니
너 엄청 삐졌거든 지금,삐졌니
지금 당신 엄청 삐졌니,삐졌니
너 엄청 삐져있니,삐졌니
지금 너 삐져있니,삐졌니
엄청나게 삐져있니,삐졌니
너 엄청나게 삐져있니,삐졌니
삐졌냐,삐졌니
당신 정말 삐졌니,삐졌니
너 지금 삐졌니,삐졌니
너 진심 개 삐졌냐,삐졌니
아 엄청 삐졌니,삐졌니
완전 삐졌네 당신도 지금,삐졌니
지금 너 완전 삐졌니,삐졌니
너 엄청 삐졌거든 지금,삐졌니
지금 당신 엄청 삐졌니,삐졌니
너 엄청 삐져있니,삐졌니
지금 너 삐져있니,삐졌니
엄청나게 삐져있니,삐졌니
당신 엄청나게 삐져있니,삐졌니
삐졌냐,삐졌니
삐졌죠,삐졌니
진심 삐졌냐,삐졌니
삐지나요,삐졌니
삐졌니,삐졌니
삐졌네 너도 나요,삐졌니
진짜 삐졌죠,삐졌니
당신 지금 삐지셨나요,삐졌니
너 삐졌니,삐졌니
너 삐졌네 너도 나요,삐졌니
당신 진짜 삐지셨죠,삐졌니
걔 삐졌나요,삐졌니
아까 진심 삐졌었지,삐졌니
너무 삐졌나요,삐졌니
너 지금 삐졌니,삐졌니
너 진심 개 삐졌냐,삐졌니
아 엄청 삐지셨죠,삐졌니
완전 삐졌네 당신도 지금,삐졌니
지금 너 완전 삐졌나요,삐졌니
너 엄청 삐졌거든 지금,삐졌니
지금 당신 엄청 삐지셨나요,삐졌니
너 엄청 삐져있죠,삐졌니
지금 너 삐져있나요,삐졌니
엄청나게 삐져있나요,삐졌니
당신 엄청나게 삐져있죠,삐졌니
삐졌냐,삐졌니
너 정말 삐지셨나요,삐졌니
너 지금 삐졌나요,삐졌니
너 진심 개 삐졌냐,삐졌니
아 엄청 삐졌죠,삐졌니
완전 삐졌네 너도 지금,삐졌니
지금 너 완전 삐졌나요,삐졌니
너 엄청 삐졌거든 지금,삐졌니
지금 너 엄청 삐지셨나요,삐졌니
너 엄청 삐져있죠,삐졌니
지금 너 삐져있죠,삐졌니
엄청나게 삐져있나요,삐졌니
너 엄청나게 삐져있나요,삐졌니
삐졌냐,삐졌니
